,Names,Country,Weight,age,Height ft,Biceps inch
1,Levan Saginashvili,Georgia,190,35,6.3,24
2,Ermes Gasparini,Italy,130,32,6.2,21
3,Devon Laratt,Canada,117,49,6.5,18
4,Artyom Morozov,Kazakhstan,140,26,6.4,22
5,Vitaly Laletin,Russia,144,34,6.8,17
6,Denis Cyplenkov,Ukraine,133,45,6.1,23
